,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,total_gross,profit/loss,roi,release_month,release_string_x,movie_year,movie_title,original_release_date,genres,runtime,tomatometer_rating,audience_rating,directors,content_rating,production_company,release_string_y
0,1,2009-12-18,Avatar,425000000.0,760507625.0,2776345279.0,2009,3536852904.0,3111852904.0,732.2006832941177,December,2009-12,Avatar (2009-12),Avatar,2009-12-18,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",155.0,82.0,82.0,James Cameron,PG-13,20th Century Fox,2009-12
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000.0,241063875.0,1045663875.0,2011,1286727750.0,876127750.0,213.37743546030202,May,2011-05,Pirates of the Caribbean: On Stranger Tides (2011-05),Pirates of the Caribbean: On Stranger Tides,2011-05-20,"Action & Adventure, Comedy, Science Fiction & Fantasy",136.0,33.0,54.0,"Dariusz Wolski, Rob Marshall",PG-13,Walt Disney Pictures,2011-05
2,3,2019-06-07,Dark Phoenix,350000000.0,42762350.0,149762350.0,2019,192524700.0,-157475300.0,-44.99294285714286,June,2019-06,Dark Phoenix (2019-06),Dark Phoenix,2019-06-07,"Action & Adventure, Drama, Science Fiction & Fantasy",114.0,22.0,64.0,Simon Kinberg,PG-13,20th Century Fox,2019-06
3,4,2015-05-01,Avengers: Age of Ultron,330600000.0,459005868.0,1403013963.0,2015,1862019831.0,1531419831.0,463.224389292196,May,2015-05,Avengers: Age of Ultron (2015-05),Avengers: Age of Ultron,2015-05-01,"Action & Adventure, Science Fiction & Fantasy",141.0,76.0,83.0,Joss Whedon,PG-13,Walt Disney Pictures,2015-05
4,5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000.0,620181382.0,1316721747.0,2017,1936903129.0,1619903129.0,511.0104507886435,December,2017-12,Star Wars: The Last Jedi (2017-12),Star Wars: The Last Jedi,2017-12-15,"Action & Adventure, Drama, Science Fiction & Fantasy",152.0,90.0,43.0,Rian Johnson,PG-13,Walt Disney Pictures,2017-12
5,6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000.0,936662225.0,2053311220.0,2015,2989973445.0,2683973445.0,877.1155049019608,December,2015-12,Star Wars: Episode VII - The Force Awakens (2015-12),Star Wars: Episode VII - The Force Awakens,2015-12-18,"Action & Adventure, Science Fiction & Fantasy",136.0,92.0,86.0,J.J. Abrams,PG-13,Walt Disney Pictures,2015-12
6,7,2018-04-27,Avengers: Infinity War,300000000.0,678815482.0,2048134200.0,2018,2726949682.0,2426949682.0,808.9832273333334,April,2018-04,Avengers: Infinity War (2018-04),Avengers: Infinity War,2018-04-27,"Action & Adventure, Science Fiction & Fantasy",149.0,85.0,91.0,Anthony Russo,PG-13,Walt Disney Pictures,2018-04
7,9,2017-11-17,Justice League,300000000.0,229024295.0,655945209.0,2017,884969504.0,584969504.0,194.98983466666667,November,2017-11,Justice League (2017-11),Justice League,2017-11-17,"Action & Adventure, Drama, Science Fiction & Fantasy",119.0,40.0,71.0,Zack Snyder,PG-13,Warner Bros. Pictures,2017-11
8,10,2015-11-06,Spectre,300000000.0,200074175.0,879620923.0,2015,1079695098.0,779695098.0,259.898366,November,2015-11,Spectre (2015-11),Spectre,2015-11-06,Action & Adventure,148.0,63.0,61.0,Sam Mendes,PG-13,Sony Pictures,2015-11
9,11,2012-07-20,The Dark Knight Rises,275000000.0,448139099.0,1084439099.0,2012,1532578198.0,1257578198.0,457.3011629090909,July,2012-07,The Dark Knight Rises (2012-07),The Dark Knight Rises,2012-07-20,"Action & Adventure, Drama, Mystery & Suspense",165.0,87.0,90.0,Christopher Nolan,PG-13,Warner Bros. Pictures,2012-07
10,12,2018-05-25,Solo: A Star Wars Story,275000000.0,213767512.0,393151347.0,2018,606918859.0,331918859.0,120.69776690909092,May,2018-05,Solo: A Star Wars Story (2018-05),Solo: A Star Wars Story,2018-05-25,"Action & Adventure, Drama, Science Fiction & Fantasy",135.0,70.0,64.0,Ron Howard,PG-13,Walt Disney Pictures,2018-05
11,13,2013-07-02,The Lone Ranger,275000000.0,89302115.0,260002115.0,2013,349304230.0,74304230.0,27.019720000000003,July,2013-07,The Lone Ranger (2013-07),The Lone Ranger,2013-07-03,"Action & Adventure, Kids & Family, Western",149.0,30.0,51.0,Gore Verbinski,PG-13,Walt Disney Pictures,2013-07
12,14,2012-03-09,John Carter,275000000.0,73058679.0,282778100.0,2012,355836779.0,80836779.0,29.39519236363636,March,2012-03,John Carter (2012-03),John Carter,2012-03-09,"Action & Adventure, Horror, Kids & Family, Science Fiction & Fantasy",132.0,52.0,60.0,Mark Atkins,PG-13,Walt Disney Pictures,2012-03
13,15,2010-11-24,Tangled,260000000.0,200821936.0,586477240.0,2010,787299176.0,527299176.0,202.8073753846154,November,2010-11,Tangled (2010-11),Tangled,2010-11-24,"Animation, Comedy, Kids & Family, Musical & Performing Arts",101.0,89.0,87.0,"Nathan Greno, Byron Howard",PG,Walt Disney Pictures,2010-11
14,17,2016-05-06,Captain America: Civil War,250000000.0,408084349.0,1140069413.0,2016,1548153762.0,1298153762.0,519.2615048,May,2016-05,Captain America: Civil War (2016-05),Captain America: Civil War,2016-05-06,"Action & Adventure, Science Fiction & Fantasy",146.0,91.0,89.0,Anthony Russo,PG-13,Walt Disney Pictures,2016-05
15,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000.0,330360194.0,867500281.0,2016,1197860475.0,947860475.0,379.14419000000004,March,2016-03,Batman v Superman: Dawn of Justice (2016-03),Batman v Superman: Dawn of Justice,2016-03-23,"Action & Adventure, Science Fiction & Fantasy",153.0,28.0,62.0,Zack Snyder,PG-13,Warner Bros. Pictures,2016-03
16,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568.0,1017003568.0,2012,1320007136.0,1070007136.0,428.00285440000005,December,2012-12,The Hobbit: An Unexpected Journey (2012-12),The Hobbit: An Unexpected Journey,2012-12-14,"Action & Adventure, Science Fiction & Fantasy",169.0,64.0,83.0,Peter Jackson,PG-13,Warner Bros.,2012-12
17,20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000.0,302089278.0,935213767.0,2009,1237303045.0,987303045.0,394.921218,July,2009-07,Harry Potter and the Half-Blood Prince (2009-07),Harry Potter and the Half-Blood Prince,2009-07-15,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",153.0,84.0,78.0,David Yates (II),PG,Warner Bros. Pictures,2009-07
18,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855.0,960366855.0,2013,1218733710.0,968733710.0,387.49348399999997,December,2013-12,The Hobbit: The Desolation of Smaug (2013-12),The Hobbit: The Desolation of Smaug,2013-12-13,"Action & Adventure, Science Fiction & Fantasy",160.0,74.0,85.0,Peter Jackson,PG-13,Warner Bros.,2013-12
19,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,255119788.0,945577621.0,2014,1200697409.0,950697409.0,380.2789636,December,2014-12,The Hobbit: The Battle of the Five Armies (2014-12),The Hobbit: The Battle of the Five Armies,2014-12-17,"Action & Adventure, Science Fiction & Fantasy",144.0,59.0,74.0,Peter Jackson,PG-13,Warner Bros.,2014-12
20,23,2017-04-14,The Fate of the Furious,250000000.0,225764765.0,1234846267.0,2017,1460611032.0,1210611032.0,484.2444128,April,2017-04,The Fate of the Furious (2017-04),The Fate of the Furious,2017-04-14,"Action & Adventure, Drama",136.0,67.0,72.0,F. Gary Gray,PG-13,Universal Pictures,2017-04
21,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000.0,172558876.0,788241137.0,2017,960800013.0,730800013.0,317.73913608695653,May,2017-05,Pirates of the Caribbean: Dead Men Tell No Tales (2017-05),Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-26,"Action & Adventure, Drama",123.0,29.0,61.0,"Espen Sandberg, Joachim Rønning",PG-13,Walt Disney Pictures,2017-05
22,27,2012-05-04,The Avengers,225000000.0,623279547.0,1517935897.0,2012,2141215444.0,1916215444.0,851.6513084444445,May,2012-05,Marvel's The Avengers (2012-05),Marvel's The Avengers,2012-05-04,"Action & Adventure, Science Fiction & Fantasy",143.0,92.0,91.0,Unknown,PG-13,Walt Disney Pictures,2012-05
23,29,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,2013,959045036.0,734045036.0,326.2422382222222,June,2013-06,Man of Steel (2013-06),Man of Steel,2013-06-14,"Action & Adventure, Science Fiction & Fantasy",143.0,56.0,75.0,Zack Snyder,PG-13,Warner Bros. Pictures,2013-06
24,31,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,2012,1019920930.0,799920930.0,363.6004227272727,July,2012-07,The Amazing Spider-Man (2012-07),The Amazing Spider-Man,2012-07-03,"Action & Adventure, Science Fiction & Fantasy",136.0,73.0,77.0,Marc Webb,PG-13,Sony Pictures,2012-07
25,32,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,2012,378711117.0,158711117.0,72.14141681818181,May,2012-05,Battleship (2012-05),Battleship,2012-05-18,"Action & Adventure, Science Fiction & Fantasy",131.0,34.0,54.0,Peter Berg,PG-13,Universal,2012-05
26,33,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,2017,733062023.0,516062023.0,237.81660046082948,June,2017-06,Transformers: The Last Knight (2017-06),Transformers: The Last Knight,2017-06-21,"Action & Adventure, Drama, Science Fiction & Fantasy",148.0,15.0,43.0,Michael Bay,PG-13,Paramount Pictures,2017-06
27,34,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,2015,2301125489.0,2086125489.0,970.290925116279,June,2015-06,Jurassic World (2015-06),Jurassic World,2015-06-12,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",124.0,70.0,78.0,Colin Trevorrow,PG-13,Universal Pictures,2015-06
28,35,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,2012,833234339.0,618234339.0,287.5508553488372,May,2012-05,Men in Black III (2012-05),Men in Black III,2012-05-25,"Action & Adventure, Comedy, Science Fiction & Fantasy",104.0,68.0,70.0,Barry Sonnenfeld,PG-13,Sony Pictures,2012-05
29,36,2009-06-24,Transformers: Revenge of the Fallen,210000000.0,402111870.0,836519699.0,2009,1238631569.0,1028631569.0,489.8245566666667,June,2009-06,Transformers: Revenge of the Fallen (2009-06),Transformers: Revenge of the Fallen,2009-06-24,"Action & Adventure, Science Fiction & Fantasy",149.0,20.0,57.0,Michael Bay,PG-13,Paramount/Dreamworks,2009-06
30,37,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,2014,1349478152.0,1139478152.0,542.6086438095238,June,2014-06,Transformers: Age of Extinction (2014-06),Transformers: Age of Extinction,2014-06-27,"Action & Adventure, Science Fiction & Fantasy",165.0,18.0,50.0,Michael Bay,PG-13,Paramount Pictures,2014-06
31,39,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,2010,427946154.0,217946154.0,103.78388285714286,May,2010-05,Robin Hood (2010-05),Robin Hood,2010-05-14,"Action & Adventure, Drama",139.0,43.0,58.0,Ridley Scott,PG-13,Universal,2010-05
